Name,Asset Type,Location,Commodity,Operating Company,Status,Capacity,Region PADD
Memphis (Valero Refining Co) - Flare (North & South),Unclassified Unit,Tennessee,Oil / Oil Products,Premcor Refining Group Inc,Unknown,,
Holborn Refinery (Holborn Europa Raffinerie GmbH) - Sour Water Treatment,Water Treatment Unit,Germany,Oil / Oil Products,Holborn Europa Raffinerie GmbH,Unknown,,
Gonfreville Refinery (Normandie) (Total Refining & Chemicals Saudi Arabia Sas) - DHC (Deep Hydrocracker),Hydrocracker Unit,,Oil / Oil Products,Total Gonfreville,Unknown,,
Robinson (Marathon Petroleum Corporation) - Gasoline Desulfurizer (GDU) Plant 74,Hydrotreater Unit,Illinois,Oil / Oil Products,Marathon Petroleum Corporation,Unknown,,
Anqing (Sinopec Anqing Company Limited) - Alkylation 1,Alkylate Plant,China (Mainland),Oil / Oil Products,Sinopec Anqing Company Limited,Unknown,,
Koyali Refinery (Gujarat) (Indian Oil Corporation Ltd) - Delayed Coker,Coker Unit,India,Oil / Oil Products,Indian Oil Corporation Ltd,Unknown,,
Mobile (Vertex Energy) - Tank Farms,Tank Farm,Alabama,Oil / Oil Products,Gulf Atlantic Refining & Marketing LP,Unknown,,
Joliet (Exxon Mobil Corp) - FCCU Expander Turb/Gen,Power Generator,Illinois,Oil / Oil Products,Exxon Mobil Corp,Unknown,,
Regina (Consumers Co Operative Refineries Ltd (Ccrl)) - Heavy Naphtha Unit (HNU),Hydrotreater Unit,Canada,Oil / Oil Products,Consumers Co Operative Refineries Ltd (Ccrl),Unknown,,
Bill Greehey Refinery-East (Valero Refining Co) - Steam Methane Hydrogen Unit,Hydrogen Plant,Texas,Oil / Oil Products,Valero Refining Co,Unknown,,
Corpus Christi Refinery - West (Flint Hills Resources LLC) - Alkar Styrene (Specialty Chem),Petrochemical Plant,Texas,Oil / Oil Products,Flint Hills Resources LP,Unknown,,
Riograndense Refinery (Refinaria de Petroleo Riograndense SA) - Ipiranga 01,Power Generator,Brazil,Oil / Oil Products,Refinaria de Petroleo Riograndense SA,Unknown,,
Panipat (Indian Oil Corporation Limited) - Triethylene Glycol,Unclassified Unit,India,Oil / Oil Products,Indian Oil Corporation Ltd,Unknown,,
Garyville (Marathon) - Crude 10 B-Train Sour/Sweet,Distillation Unit,Louisiana,Oil / Oil Products,Marathon,Unknown,,
Maoming (Sinopec Maoming Company Limited) - Delayed Coker 2,Coker Unit,China (Mainland),Oil / Oil Products,Sinopec Maoming Company Limited,Unknown,,
McKee Refinery (Valero Refining Company) - HT 3 Turbine Fuel,Hydrotreater Unit,Texas,Oil / Oil Products,Valero Refining Company,Unknown,,
Quanzhou Refinery (Fujian Refining & Petrochemical Company Limited) - Sulfur Recovery Unit 2,Sulfur Plant,China (Mainland),Oil / Oil Products,Fujian Refining & Petrochemical Co Ltd,Unknown,,
Jinan Refinery (SINOPEC Jinan Company Limited) - FCCU 2,Catalytic Cracker Unit,China (Mainland),Oil / Oil Products,SINOPEC Jinan Company Limited,Unknown,,
Qinzhou Refinery (Guangxi Qinzhou Zhong-Tai Service Co Ltd) - CCR,Reformer Unit,China (Mainland),Oil / Oil Products,Guangxi Qinzhou Zhong-Tai Service Co Ltd,Unknown,,
Shazand Arak Refinery (Imam Khomeini Oil Refinery Company of Shazand) - Gasoil Hydrotreater,Hydrotreater Unit,Iran,Oil / Oil Products,Imam Khomeini Oil Refinery Company of Shazand,Unknown,,
Puertollano (Repsol Petroleo SA) - 644-A (SRU),Sulfur Plant,Spain,Oil / Oil Products,Repsol Petroleo SA,Unknown,,
Refineria Ingeniero Antonio Dovali Jaime (Salina Cruz) (Pemex Transformacion Industrial) - SRU 1 Train B,Sulfur Plant,Mexico,Oil / Oil Products,Petroleos Mexicanos,Unknown,,
Mandan (Marathon Petroleum Corporation) - Unit 03,Power Generator,North Dakota,Oil / Oil Products,Marathon Petroleum Corp,Unknown,,
Chiba (Idemitsu Kosan Company Limited) - Benzene Production (LNR) Unit,Gasoline Additive Unit,Japan,Oil / Oil Products,Idemitsu Kosan Company Limited,Unknown,,
Canton (Marathon Petroleum Corp) - CCR (Continuous Catalytic Reformer),Reformer Unit,Ohio,Oil / Oil Products,Marathon Petroleum Corp,Unknown,,
REVAP Refinery (Petroleo Brasileiro SA Petrobras) - SRU,Sulfur Plant,Brazil,Oil / Oil Products,Petrobras,Unknown,,
Tulsa East (HF Sinclair Corporation) - Isomerization,Isomerate Plant,Oklahoma,Oil / Oil Products,HollyFrontier Corp,Unknown,,
Salt Lake City (Marathon Petroleum Corporation) - Gasoline Hydrotreater (GHT),Hydrotreater Unit,Utah,Oil / Oil Products,Marathon Petroleum Corporation,Unknown,,
Saint Paul Park Refinery (Marathon Petroleum Corp) - Crude 2,Distillation Unit,Minnesota,Oil / Oil Products,Marathon Petroleum Corp,Unknown,,
Navajo Refinery (Navajo Refining Company Limited Partnership) - Vacuum Distillation,Distillation Unit,New Mexico,Oil / Oil Products,Navajo Refining Company Limited Partnership,Unknown,,
Shikoku (Taiyo Oil Co Ltd) - LPG Recovery Unit 2,Gas Processing / Treating Unit,Japan,Oil / Oil Products,Taiyo Oil Co Ltd,Unknown,,
Brod Bitumen Blending Plant (Zarubezhneft JSC) - Gasoline Platformer (Unit 04),Reformer Unit,Bosnia and Herzegovina,Oil / Oil Products,Zarubezhneft AO,Unknown,,
Onsan (S Oil Corp) - Regenerative Thermal Oxidizer (TW-RTO) Unit,Unclassified Unit,South Korea,Oil / Oil Products,S Oil Corp,Unknown,,
Houston (Valero Refining Company) - Boiler House,Unclassified Unit,Texas,Oil / Oil Products,Valero Refining Company,Unknown,,
Woods Cross (HF Sinclair Corporation) - Gas Oil Mild Hydrocracker Unit 20,Hydrocracker Unit,Utah,Oil / Oil Products,HollyFrontier Corp,Unknown,,
Huludao Refinery (Petrochina Jinxi Petrochemical Design House) - Delayed Coker,Coker Unit,North-East China,Oil / Oil Products,Petrochina Jinxi Petrochemical Design House,Unknown,,
Berre-l'Etang Refinery (LyondellBasell Industries NV) - Tank Farm,Tank Farm,,Oil / Oil Products,Lyondellbasell Advanced Polyolefins Usa Inc,Unknown,,
Guwahati (Indian Oil Corporation Ltd) - Sulfur Recovery Unit,Sulfur Plant,India,Oil / Oil Products,Indian Oil Corporation Ltd,Unknown,,
Nynashamn Refinery (Nynas Petroleum) - Steam Reformer,Hydrogen Plant,Sweden,Oil / Oil Products,Nynas Petroleum,Unknown,,
Guangzhou (China Petroleum & Chemical Corporation) - HGO (Heavy Gas Oils) Hydrotreater,Hydrotreater Unit,China (Mainland),Oil / Oil Products,China Petroleum & Chemical Corporation,Unknown,,
Corpus Christi Refinery - West (Flint Hills Resources LLC) - West Side Crude 3,Distillation Unit,Texas,Oil / Oil Products,Flint Hills Resources LP,Unknown,,
La Rabida Refinery (Cepsa SA) - Gas Concentration Unit,Gas Processing / Treating Unit,Spain,Oil / Oil Products,Cepsa SA,Unknown,,
Chittagong Refinery (Eastern Refinery Limited) - Asphaltic Bitumen Plant,Asphalt Plant,Bangladesh,Oil / Oil Products,Eastern Refinery Limited,Unknown,,
Sines (Galp Energia SGPS SA) - Atmospheric Hydrobon,Hydrotreater Unit,Portugal,Oil / Oil Products,Galp Energia SGPS SA,Unknown,,
Port Arthur (Valero Refining Company-California) - North-South Tank Farm,Tank Farm,Texas,Oil / Oil Products,Valero Energy Corp,Unknown,,
Robinson (Marathon Petroleum Corporation) - Ultraformer (Plant 3),Reformer Unit,Illinois,Oil / Oil Products,Marathon Petroleum Corporation,Unknown,,
Laurel (Cenex Harvest States Incorporated) - Zone A SRU Train #2,Sulfur Plant,Montana,Oil / Oil Products,Cenex Harvest States Co Op,Unknown,,
Lloydminster Upgrader - Amine,Gas Processing / Treating Unit,Canada,Oil / Oil Products,,Unknown,,
Mangalore (Mangalore Refinery & Petrochemicals Limited) - Hydrogen Generation Unit 3,Hydrogen Plant,India,Oil / Oil Products,Mangalore Refinery and Petrochemicals Ltd,Unknown,,
Rabigh (Rabigh Refining and Petrochemical Company SJSC) - HPU 2 (Hydrogen Production Unit),Hydrogen Plant,Saudi Arabia,Oil / Oil Products,Rabigh Refining and Petrochemical Company SJSC,Unknown,,
Melaka Refinery PSR-1 (PETRONAS Penapisan (Malaka) Sdn Bhd) - Melaka PSR ST,Power Generator,Malaysia,Oil / Oil Products,Petronas Penapisan Melaka Sdn Bhd,Unknown,,
Plock (PKN Orlen SA) - ISOM C6,Isomerate Plant,Poland,Oil / Oil Products,PKN Orlen SA,Unknown,,
Szazhalombatta Duna Refinery (MOL Magyar Olajes Gazipari Nyrt) - Vacuum 1,Distillation Unit,Hungary,Oil / Oil Products,MOL Magyar Olajes Gazipari Nyrt,Unknown,,
Billings (Phillips 66) - Boiler House,Unclassified Unit,Montana,Oil / Oil Products,Phillips 66,Unknown,,
Campana Refinery (Axion Energy Argentina SA) - FCCU,Catalytic Cracker Unit,Argentina,Oil / Oil Products,Axion Energy Argentina SA,Unknown,,
Santo Domingo Dominican (Refineria Dominicana de Petroleo Refidomsa PDV SA) - Santo Domingo 01,Power Generator,Dominican Republic,Oil / Oil Products,Refineria Dominicana de Petroleo S A,Unknown,,
"Litvinov (ORLEN Unipetrol RPA, s.r.o.) - Isomerization",Isomerate Plant,Czech Republic,Oil / Oil Products,Unipetrol as,Unknown,,
Robinson (Marathon Petroleum Corporation) - Merox,Gas Processing / Treating Unit,Illinois,Oil / Oil Products,Marathon Petroleum Corporation,Unknown,,
Melaka Refinery PSR-2 (Malaysia Refining Company Sendirian Berhad) - DCU (Unit 9),Coker Unit,Malaysia,Oil / Oil Products,Malaysia Refining Company Sendirian Berhad,Unknown,,
Richmond (Chevron Corporation) - Wastewater Treatment,Water Treatment Unit,California,Oil / Oil Products,Chevron,Unknown,,
Lytton (Ampol Refineries (QLD) Pty Ltd) - Reformer Feed Hydrotreater,Hydrotreater Unit,Australia,Oil / Oil Products,Caltex Refineries (QLD) Pty Ltd,Unknown,,
Kawasaki (ENEOS Corporation) - No 2 Sulfur Recovery,Sulfur Plant,Japan,Oil / Oil Products,JXTG Nippon Oil & Energy Corp,Unknown,,
Taranto (Eni Spa) - Unit 2300 (SWS 2),Water Treatment Unit,Italy,Oil / Oil Products,Eni Spa,Unknown,,
Tyler (Delek Refining Limited) - SF Alkylation (Area 40),Alkylate Plant,Texas,Oil / Oil Products,Delek Refining Limited,Unknown,,
Shengli Refinery (Sinopec Shengli Oilfield Company Limited) - Gasoline Hydrotreater,Hydrotreater Unit,China (Mainland),Oil / Oil Products,Sinopec Shengli Oilfield Company Limited,Unknown,,
Wood River (WRB Refining LP) - BEU Benzene Extraction (Sulfolane),Gasoline Additive Unit,Illinois,Oil / Oil Products,WRB Refining LP,Unknown,,
Rheinland Godorf Refinery (North) (Shell Deutschland Oil GmbH) - Steam Production Unit,Unclassified Unit,Germany,Oil / Oil Products,Royal Dutch Shell PLC,Unknown,,
Baton Rouge (ExxonMobil Corporation) - RHLA Reformer Hydrofiner 2,Hydrotreater Unit,Louisiana,Oil / Oil Products,ExxonMobil Corporation,Unknown,,
Wilmington (Valero Refining Company) - HF Alkylation 68,Alkylate Plant,California,Oil / Oil Products,Valero Refining Company,Unknown,,
Izmit (Koc Holding AS) - FCCU (Plant 7),Catalytic Cracker Unit,Turkey,Oil / Oil Products,Koc Holding AS,Unknown,,
Texas City (Valero Refining Co) - A-76 Vacuum,Distillation Unit,Texas,Oil / Oil Products,Valero Refining Co,Unknown,,
Baytown (ExxonMobil Corporation) - Boiler House 6,Unclassified Unit,Texas,Oil / Oil Products,ExxonMobil Corporation,Unknown,,
Mina Al-Ahmadi (Kuwait National Petroleum Company) - Gas Processing Train-I,NGL Fractionator,Kuwait,Oil / Oil Products,Kuwait National Petroleum Company,Unknown,,
Apiay (Ecopetrol) - Crude,Distillation Unit,Colombia,Oil / Oil Products,Ecopetrol,Unknown,,
Mazeikiai Refinery (Orlen Lietuva AB) - Diesel HDT 2 (S-300/1),Hydrotreater Unit,Lithuania,Oil / Oil Products,Orlen Lietuva AB,Unknown,,
REDUC (Petroleo Brasileiro SA Petrobras) - MIBC Dewaxing (U-1730),Lube Plant,Brazil,Oil / Oil Products,Petroleo Brasileiro SA Petrobras,Unknown,,
Gonfreville Refinery (Normandie) (Total Refining & Chemicals Saudi Arabia Sas) - Gonfreville Cogen 02 (T-14) CT/HRSG,Power Generator,,Oil / Oil Products,Total Gonfreville,Unknown,,
RU VI - Balongan Refinery (PT Pertamina Persero) - CDU,Distillation Unit,Indonesia,Oil / Oil Products,PT Pertamina Persero,Unknown,,
Sinclair (HF Sinclair Corporation) - Crude 582 (Sweet),Distillation Unit,Wyoming,Oil / Oil Products,Sinclair Oil Corp,Unknown,,
Mozyr (Mozyr Oil Refinery JSC) - Hydrogen (H2) Recovery PSA,Hydrogen Plant,Belarus,Oil / Oil Products,Mozyr Oil Refinery JSC,Unknown,,
Muroran (Eneos Corp) - Xylene Production Unit,Petrochemical Plant,Japan,Oil / Oil Products,JX Nippon Oil & Energy Corp,Unknown,,
Szazhalombatta Duna Refinery (MOL Magyar Olajes Gazipari Nyrt) - Fuels Blending,Unclassified Unit,Hungary,Oil / Oil Products,MOL Magyar Olajes Gazipari Nyrt,Unknown,,
Plock (PKN Orlen SA) - Propane Splitters,Petrochemical Plant,Poland,Oil / Oil Products,PKN Orlen SA,Unknown,,
Ulsan (SK Energy Company Limited) - Ulsan CHP 04 ST,Power Generator,South Korea,Oil / Oil Products,SK Energy Co Ltd,Unknown,,
St1 Gothenburg (St1 Refinery AB) - Platformer 2,Reformer Unit,Sweden,Oil / Oil Products,St1 Refinery AB,Unknown,,
Humber Refinery (Phillips 66) - HF Alky,Alkylate Plant,United Kingdom,Oil / Oil Products,Phillips 66,Unknown,,
Los Angeles Carson Refinery (Marathon Petroleum Corporation) - SFIA (Super Fractionation Isom Area),Gas Processing / Treating Unit,California,Oil / Oil Products,Marathon Petroleum Corporation,Unknown,,
Kenai (Marathon Petroleum Corporation) - South Cummins Engine,Power Generator,Alaska,Oil / Oil Products,Marathon Petroleum Corp,Unknown,,
Izmit (Koc Holding AS) - Vacuum 2 (Plt 26),Distillation Unit,Turkey,Oil / Oil Products,Koc Holding AS,Unknown,,
Cartagena (Repsol Petroleo SA) - SRU (U-685),Sulfur Plant,Spain,Oil / Oil Products,Repsol SA,Unknown,,
Feyzin (TotalEnergies SE) - Flare 2,Unclassified Unit,,Oil / Oil Products,Total SA,Unknown,,
Refineria Miguel Hidalgo (Tula De Allende) (Pemex Transformacion Industrial) - Sour Water Treatment 3,Water Treatment Unit,Mexico,Oil / Oil Products,Pemex Transformacion Industrial,Unknown,,
Elefsina Refinery (HELLENiQ ENERGY Holdings SA) - Crude Distillation (Crude 01),Distillation Unit,Greece,Oil / Oil Products,Hellenic Petroleum SA,Unknown,,
REGAP Refinery (Petroleo Brasileiro SA Petrobras) - Coked Naphtha Hydrotreater (U-306),Hydrotreater Unit,Brazil,Oil / Oil Products,Petroleo Brasileiro SA Petrobras,Unknown,,
Bakersfield (Kern Oil & Refining Company) - Kerosene Hydrotreater (KHT),Hydrotreater Unit,California,Oil / Oil Products,Kern Oil & Refining Company,Unknown,,
Dung Quat (Binh Son Refining and Petrochemical Joint Stock Co) - Naphtha Hydrotreater Unit 12,Hydrotreater Unit,Vietnam,Oil / Oil Products,Binh Son Refining and Petrochemical Joint Stock Co,Unknown,,
Leuna (TotalEnergies Raffinerie Mitteldeutschland GmbH) - Hydrogen Compressor,Unclassified Unit,Germany,Oil / Oil Products,Total SA,Unknown,,
Vadinar Refinery (Nayara Energy Ltd) - SRU 2,Sulfur Plant,India,Oil / Oil Products,Nayara Energy Ltd,Unknown,,
Burnaby (Parkland Fuel Corp) - Isomerization (Penex),Isomerate Plant,Canada,Oil / Oil Products,Parkland Fuel Corp,Unknown,,
Lingen (BP Europa SE) - Waste Incineration Plant,Unclassified Unit,Germany,Oil / Oil Products,BP PLC,Unknown,,
Refineria Lazaro Cardenas (Minatitlan) (Pemex Transformacion Industrial) - Diesel Hydrotreater (U-100),Hydrotreater Unit,Mexico,Oil / Oil Products,Pemex Transformacion Industrial,Unknown,,
Jamnagar (Reliance Industries Limited) - Desalination 1,Unclassified Unit,India,Oil / Oil Products,Reliance Industries Ltd,Unknown,,
Corpus Christi Refinery-East (CITGO Petroleum Corp) - Vacuum Distillation,Distillation Unit,Texas,Oil / Oil Products,CITGO Petroleum Corp,Unknown,,
Ancona (Api Raffineria Di Ancona S p A) - Gasoil HDS 1 (3100),Hydrotreater Unit,Italy,Oil / Oil Products,Api Raffineria Di Ancona S p A,Unknown,,
Chalmette (Chalmette Refining LLC) - Tail Gas Treater 2,Gas Processing / Treating Unit,Louisiana,Oil / Oil Products,Chalmette Refining LLC,Unknown,,
Jurong Island Refinery (Singapore Refining Company Pte Ltd) - MTBE Unit,Gasoline Additive Unit,Singapore,Oil / Oil Products,Singapore Refining Company Pte Ltd,Unknown,,
Barauni (Indian Oil Corporation Ltd) - Nitrogen,Unclassified Unit,India,Oil / Oil Products,Indian Oil Corpn Ltd,Unknown,,
Schwechat (OMV AG) - Catalytic Dewaxing,Lube Plant,Austria,Oil / Oil Products,Omv AG,Unknown,,
Guangzhou (China Petroleum & Chemical Corporation) - Delayed Coker 2,Coker Unit,China (Mainland),Oil / Oil Products,China Petroleum & Chemical Corporation,Unknown,,
Onsan (S Oil Corp) - Naphtha Reforming Unit 2,Reformer Unit,South Korea,Oil / Oil Products,S Oil Corp,Unknown,,
Garyville (Marathon) - FCCU 25,Catalytic Cracker Unit,Louisiana,Oil / Oil Products,Marathon,Unknown,,
Bakersfield (San Joaquin Refining Co Inc) - Diesel Hydrotreater,Hydrotreater Unit,California,Oil / Oil Products,San Joaquin Refining Co Inc,Unknown,,
La Rabida Refinery (Cepsa SA) - Aminas (FCC),Gas Processing / Treating Unit,Spain,Oil / Oil Products,Cepsa SA,Unknown,,
Mizushima Refinery (A and B Plant) (Eneos Corp) - Hydrogen Production Unit 2,Hydrogen Plant,Japan,Oil / Oil Products,JXTG Nippon Oil & Energy Corp,Unknown,,
Digboi (Indian Oil Corporation Ltd) - Hydrogen Generation Unit,Hydrogen Plant,India,Oil / Oil Products,Indian Oil Corporation Ltd,Unknown,,
Port Arthur (Motiva Enterprises LLC) - SRU 5,Sulfur Plant,Texas,Oil / Oil Products,Motiva Enterprises LLC,Unknown,,
Panipat (Indian Oil Corporation Limited) - Panipat 03 CT/HRSG,Power Generator,India,Oil / Oil Products,Indian Oil Corporation Ltd,Unknown,,
Pancevo Refinery (Gazprom Neft' PAO) - Gas Separation/Extraction,Unclassified Unit,Serbia,Oil / Oil Products,Gazprom Neft' PAO,Unknown,,
Garyville (Marathon) - Crude 10 A-Train/Sour,Distillation Unit,Louisiana,Oil / Oil Products,Marathon,Unknown,,
Coffeyville (Coffeyville Resources Refining & Marketing LLC) - Boiler House,Unclassified Unit,Kansas,Oil / Oil Products,CVR Energy Inc,Unknown,,
Lake Charles Refinery (Phillips 66) - Sour Crude/Resid Storage,Tank Farm,Louisiana,Oil / Oil Products,Phillips 66,Unknown,,
Benicia (Valero Refining Co) - Wastewater Treatment,Water Treatment Unit,California,Oil / Oil Products,Valero Energy Corp,Unknown,,
Lukoil Neftochim Burgas Refinery (Lukoil Bulgaria EOOD) - Diesel Hydrodesulfurization 1,Hydrotreater Unit,Bulgaria,Oil / Oil Products,Lukoil Bulgaria EOOD,Unknown,,
Alexandria Refinery (APC - El-Mex) (Alexandria Petroleum Co) - Vacuum Distillation Unit,Distillation Unit,Egypt,Oil / Oil Products,Alexandria Petroleum Co,Unknown,,
Joliet (Exxon Mobil Corp) - Amine East DEA,Gas Processing / Treating Unit,Illinois,Oil / Oil Products,Exxon Mobil Corp,Unknown,,
Laurel (Cenex Harvest States Incorporated) - Isomerization C4,Isomerate Plant,Montana,Oil / Oil Products,Cenex Harvest States Incorporated,Unknown,,
Afipsky refinery (SAFMAR) - 22/4 (Crude 2),Distillation Unit,Southern Federal District,Oil / Oil Products,SAFMAR,Unknown,,
Lloydminster Upgrader - Asphalt,Asphalt Plant,Canada,Oil / Oil Products,,Unknown,,
Torrance (Torrance Refining Company LLC) - Clean Products Storage,Tank Farm,California,Oil / Oil Products,PBF Energy Inc,Unknown,,
Qingdao Refinery (Sinopec Qingdao Refining & Chemical Co Ltd) - Hydrotreater,Hydrotreater Unit,China (Mainland),Oil / Oil Products,Sinopec Qingdao Refining & Chemical Co,Unknown,,
Puertollano (Repsol Petroleo SA) - Hydrogen (648),Hydrogen Plant,Spain,Oil / Oil Products,Repsol SA,Unknown,,
Refineria Ingeniero Hector R Lara Sosa (Cadereyta) (Pemex Transformacion Industrial) - FCCU 1,Catalytic Cracker Unit,Mexico,Oil / Oil Products,Petroleos Mexicanos,Unknown,,
Chiba (Idemitsu Kosan Company Limited) - Fluid Catalytic Cracking Unit,Catalytic Cracker Unit,Japan,Oil / Oil Products,Idemitsu Kosan Co Ltd,Unknown,,
REGAP Refinery (Petroleo Brasileiro SA Petrobras) - Hydrogen Generation (U-309),Hydrogen Plant,Brazil,Oil / Oil Products,Petroleo Brasileiro SA Petrobras,Unknown,,
Thessaloniki (Hellenic) - LPG,Gas Processing / Treating Unit,Greece,Oil / Oil Products,Hellenic,Unknown,,
Toledo (BP-Husky Refining LLC) - Water Treatment,Water Treatment Unit,Ohio,Oil / Oil Products,BP OIL INC(BRITISH PETROLEUM),Unknown,,
Martinez (Martinez Refining Co LLC) - Rail Car,Loading Facility,California,Oil / Oil Products,PBF Energy Ltd,Unknown,,
Borger (WRB Refining LP) - SRU 43B,Sulfur Plant,Texas,Oil / Oil Products,WRB Refining LP,Unknown,,
Refinaria de Mataripe (ex RLAM) (Petroleo Brasileiro SA Petrobras) - Sour Water Treatment U-80,Water Treatment Unit,Brazil,Oil / Oil Products,Petroleo Brasileiro SA Petrobras,Unknown,,
Bandar Abbas (National Iranian Oil Refining And Distribution) - Atmospheric Distillation Unit I (Unit 01),Distillation Unit,Iran,Oil / Oil Products,National Iranian Oil Refining And Distribution,Unknown,,
Hohhot (PetroChina Hohhot Petrochemical Company Limited) - LPG Treatment 2,Gas Processing / Treating Unit,China (Mainland),Oil / Oil Products,PetroChina Hohhot Petrochemical Company Limited,Unknown,,
RU IV - Cilacap Refinery (PT Pertamina Persero) - Reformer 1,Reformer Unit,Indonesia,Oil / Oil Products,PT Pertamina Persero,Unknown,,
Urumqi (PetroChina Urumqi Petrochemical Company Limited) - Hydrocracker,Hydrocracker Unit,China (Mainland),Oil / Oil Products,PetroChina Urumqi Petrochemical Company Limited,Unknown,,
Hokkaido (Idemitsu Kosan Company Limited) - Kerosene Hydrodesulfurization Unit (DH),Hydrotreater Unit,Japan,Oil / Oil Products,Idemitsu Kosan Company Limited,Unknown,,
Mailiao (Formosa Petrochemical Corporation) - Vacuum Gas Oil HDS,Hydrotreater Unit,Taiwan,Oil / Oil Products,Formosa Petrochemical Corporation,Unknown,,
Sannazzaro (Eni Spa) - Gas Fractionation Unit 1 (Unit 64 ) GS1,Gas Processing / Treating Unit,Italy,Oil / Oil Products,Eni Spa,Unknown,,
Kashima (Kashima Oil Company Limited) - Reformate Splitter 1,Reformer Unit,Japan,Oil / Oil Products,Kashima Oil Company Limited,Unknown,,
Hainan (Sinopec Hainan Refining & Chemical Company Limited) - CDU 1,Distillation Unit,China (Mainland),Oil / Oil Products,Sinopec Hainan Refining & Chemical Company Limited,Unknown,,
Kalundborg (Equinor Refining Denmark A/S) - Section 680 (Visbreaker),Coker Unit,Denmark,Oil / Oil Products,Equinor Refining Denmark A/S,Unknown,,
Sarnia (Shell Canada Limited) - FCCU,Catalytic Cracker Unit,Canada,Oil / Oil Products,Shell Canada Limited,Unknown,,
Ponca City (Phillips 66) - Tank Farm,Tank Farm,Oklahoma,Oil / Oil Products,Phillips 66,Unknown,,
Mumbai (Hindustan Petroleum Corporation Limited) - Solvent Extraction Unit-I,Lube Plant,India,Oil / Oil Products,Hindustan Petroleum Corporation Limited,Unknown,,
Willemstad Isla Curacao (Refineria di Korsou NV) - Vacuum 8 (HV-8),Distillation Unit,,Oil / Oil Products,Petroleos de Venezuela SA,Unknown,,
Smethport Waxes (International Group Incorporated) - MEK,Lube Plant,Pennsylvania,Oil / Oil Products,International Group Incorporated,Unknown,,
Porvoo (Neste Corporation) - MHC (Mild Hydrocracker),Hydrocracker Unit,Finland,Oil / Oil Products,Neste Corporation,Unknown,,
Galveston Bay Refinery (GBR) (Marathon Petroleum Co) - DDU 300 Diesel (ULSD),Hydrotreater Unit,Texas,Oil / Oil Products,Marathon Petroleum Company LP,Unknown,,
Pernis (Shell Nederland Raffinaderij B V) - HDS 6 (Diesel),Hydrotreater Unit,Netherlands,Oil / Oil Products,Shell Nederland Raffinaderij B V,Unknown,,
Nanjing Refinery (TBC 3002344) (Sinopec Zhongyuan Petrochemical Corp Ltd) - Hexyl Hydride,Unclassified Unit,China (Mainland),Oil / Oil Products,,Unknown,,
Habana Nico Lopez (CUPET) - FCCU,Catalytic Cracker Unit,Cuba,Oil / Oil Products,CUPET,Unknown,,
Port Moresby Refinery (Napa Napa Refinery) (Puma Energy (Singapore) Pte Ltd) - Desalination,Water Treatment Unit,Papua New Guinea,Oil / Oil Products,Puma Energy (Singapore) Pte Ltd,Unknown,,
La Rabida Refinery (Cepsa SA) - SRU 2 (RS2),Sulfur Plant,Spain,Oil / Oil Products,Cepsa SA,Unknown,,
Colombo Refinery (Ceylon Petroleum Corp) - Visbreaker,Coker Unit,Sri Lanka,Oil / Oil Products,Ceylon Petroleum Corp,Unknown,,
Skikda (Sonatrach) - Crude Distillation Unit 1 (Topping 10),Distillation Unit,Algeria,Oil / Oil Products,Sonatrach,Unknown,,
Bill Greehey Refinery - West (Corpus Christi) (Valero Refining Company) - Sour Water Treater,Water Treatment Unit,Texas,Oil / Oil Products,Valero Refining Company,Unknown,,
Dalian Refinery (Dalian West Pacific Petrochemical Company Limited) - Hydrogen 1,Hydrogen Plant,China (Mainland),Oil / Oil Products,Dalian West Pacific Petrochemical Co Ltd,Unknown,,
Venezia Refinery (Eni Spa) - Tank Farm,Tank Farm,Italy,Oil / Oil Products,Eni SpA,Unknown,,
Lindsey (TotalEnergies SE) - Lindsey 01,Power Generator,United Kingdom,Oil / Oil Products,TotalEnergies SE,Unknown,,
Corinth (Motor Oil Hellas) - Vacuum Distillation (U-200) (Lubes),Distillation Unit,Greece,Oil / Oil Products,Motor Oil Hellas,Unknown,,
Bio Bio Refinery (ENAP Refinerias SA) - MAP Unit,Unclassified Unit,Chile,Oil / Oil Products,Empresa Nacional de Petroleo Concon Refinery,Unknown,,
Barrancabermeja Refinery (Ecopetrol) - Sour Water,Water Treatment Unit,Colombia,Oil / Oil Products,Ecopetrol,Unknown,,
Gibraltar Refinery (Cepsa) - Amine II (FCC Amine),Gas Processing / Treating Unit,Spain,Oil / Oil Products,Cepsa,Unknown,,
El Segundo (Chevron Corporation) - Cogen A1 GT/HRSG,Power Generator,California,Oil / Oil Products,Chevron Corp,Unknown,,
Alexandria Refinery (AMOC) (Alexandria Mineral Oils Co SAE) - Lube Oil Hydrotreating Unit 1,Hydrotreater Unit,Azerbaijan,Oil / Oil Products,Alexandria Mineral Oils Co SAE,Unknown,,
Los Angeles Wilmington Refinery (Marathon Petroleum Co) - Cooling Towers,Unclassified Unit,California,Oil / Oil Products,Marathon Petroleum Co,Unknown,,
La Coruna (Repsol Petroleo SA) - Platformer 1,Reformer Unit,Spain,Oil / Oil Products,Repsol Petroleo SA,Unknown,,
