Name,Asset Type,Location,Commodity,Operating Company,Status,Capacity (Barrels),Region PADD,Primary Shareholders
Omsk Refinery (Gazprom Neft' PAO) - Benzene-Toluene Fractionation (C 900A),Gasoline Additive Unit,Siberian Federal District,Oil / Oil Products,Gazprom Neft' PAO,Unknown,--,,Gazprom Neft
Houston (Valero Refining Company) - Vacuum (Combo Unit),Distillation Unit,Texas,Oil / Oil Products,Valero Refining Company,Unknown,--,,Valero Energy Corp
Mesaieed (QatarEnergy) - Molex Unit,Isomerate Plant,Qatar,Oil / Oil Products,Qatar Petroleum,Unknown,--,,Government of Qatar
Elefsina Refinery (HELLENiQ ENERGY Holdings SA) - Debutanizer,Gas Processing / Treating Unit,Greece,Oil / Oil Products,Hellenic Petroleum SA,Unknown,--,,Hellenic
Lingen (BP Europa SE) - HDS (Diesel),Hydrotreater Unit,Germany,Oil / Oil Products,BP Europa SE,Unknown,--,,BP PLC
Vega Ploiesti (KazMunayGas International NV) - Vacuum Distillation (DV),Distillation Unit,Romania,Oil / Oil Products,Oilfield Exploration Business Solutions SA,Unknown,--,,Oilfield Exploration Business Solutions SA
Vicksburg (Ergon) - WWTP,Water Treatment Unit,Mississippi,Oil / Oil Products,Ergon,Unknown,--,,Ergon
Leuna (TotalEnergies Raffinerie Mitteldeutschland GmbH) - Tank Farm (Bitumen/Asphalt),Unclassified Unit,Germany,Oil / Oil Products,Total SA,Unknown,--,,Total
Kermanshah (Kermanshah Oil Refining Company (KORC)) - Kerosene Hydrotreater,Hydrotreater Unit,Iran,Oil / Oil Products,Kermanshah Oil Refining Company (KORC),Unknown,--,,National Iranian Oil Co
Canton (Marathon Petroleum Corp) - SRU 34,Sulfur Plant,Ohio,Oil / Oil Products,Marathon Petroleum Corp,Unknown,--,,Marathon Petroleum Corp
Tatipaka (Oil and Natural Gas Corporation Limited) - Atmospheric Distillation Unit 1,Distillation Unit,India,Oil / Oil Products,Oil and Natural Gas Corporation Limited,Unknown,--,,Oil and Natural Gas Corp
Seosan Daesan Refinery (Hyundai Oilbank Company Limited) - PLT (Platformer) Unit 1,Reformer Unit,South Korea,Oil / Oil Products,Hyundai Oilbank Co Ltd,Unknown,--,,Hyundai Oil
Manali (Chennai Petroleum Corporation Ltd) - CDU 1,Distillation Unit,India,Oil / Oil Products,Chennai Petroleum Corporation Ltd,Unknown,--,,Indian Oil Corp
Toledo (BP-Husky Refining LLC) - LPG Storage,Tank Farm,Ohio,Oil / Oil Products,BP OIL INC(BRITISH PETROLEUM),Unknown,--,,BP PLC
Refinaria de Mataripe (ex RLAM) (Petroleo Brasileiro SA Petrobras) - NGL Fractionating (Unit-7),NGL Fractionator,Brazil,Oil / Oil Products,Petroleo Brasileiro SA Petrobras,Unknown,--,,Petrobras
Woods Cross (Silver Eagle Refining Incorporated) - Diesel (ULSD) Hydrotreater,Hydrotreater Unit,Utah,Oil / Oil Products,Silver Eagle Refining Incorporated,Unknown,--,,Silver Eagle Refining
Ferndale (Phillips 66) - Polymerization,Polymerization Plant,Washington,Oil / Oil Products,Phillips 66,Unknown,--,,Phillips 66
Pancevo Refinery (Gazprom Neft' PAO) - Bitumen Production,Asphalt Plant,Serbia,Oil / Oil Products,Gazprom Neft' PAO,Unknown,--,,Gazprom Neft
Congo Refinery (Ergon) - Propane De-Asphalter,Lube Plant,West Virginia,Oil / Oil Products,Ergon,Unknown,--,,Ergon
Zarqa Refinery (Jordan Petroleum Refinery Co (Jprc)) - Asphalt Unit I,Asphalt Plant,Jordan,Oil / Oil Products,Jordan Petroleum Refinery Co (Jprc),Unknown,--,,Jordan Petroleum Refinery Co (Jprc)
Mina Al-Fahal Refinery (Oman Oil Refineries and Petroleum Industries Co LLC) - Crude Distillation Unit,Distillation Unit,Oman,Oil / Oil Products,Oman Oil Refineries and Petroleum Industries Company,Unknown,--,,Government of the Sultanate of Oman
Torrance (Torrance Refining Company LLC) - 450 & 1200 Boilers,Unclassified Unit,California,Oil / Oil Products,Torrance Refining Company LLC,Unknown,--,,PBF Energy Inc
Mobile (Vertex Energy) - Crude 2,Distillation Unit,Alabama,Oil / Oil Products,Shell Chemical Co,Unknown,--,,Gulf Atlantic Refining & Marketing LP
Chalmette (Chalmette Refining LLC) - Boiler House,Unclassified Unit,Louisiana,Oil / Oil Products,Chalmette Refining LLC,Unknown,--,,PBF Energy Inc
Humber Refinery (Phillips 66) - Tank Farm,Tank Farm,United Kingdom,Oil / Oil Products,Phillips 66,Unknown,--,,Conoco
Lukoil Neftochim Burgas Refinery (Lukoil Bulgaria EOOD) - Sulfur Recovery Unit 4,Sulfur Plant,Bulgaria,Oil / Oil Products,Lukoil Bulgaria EOOD,Unknown,--,,Lukoil
Benicia (Valero Refining Co) - Hydrocracker,Hydrocracker Unit,California,Oil / Oil Products,Valero Refining Co,Unknown,--,,Valero Energy Corp
Talin (Dalin) Refinery (Chinese Petroleum Corporation (CPC)) - Gasoline HDS 3,Hydrotreater Unit,Taiwan,Oil / Oil Products,Chinese Petroleum Corporation (CPC),Unknown,--,,CPC Corp
Lingen (BP Europa SE) - Calciner Unit,Coker Unit,Germany,Oil / Oil Products,BP Europa SE,Unknown,--,,BP PLC
Refineria Lazaro Cardenas (Minatitlan) (Pemex Transformacion Industrial) - HDD (Heavy Duty Diesel HT),Hydrotreater Unit,Mexico,Oil / Oil Products,Pemex Transformacion Industrial,Unknown,--,,Pemex
Fos-sur-Mer (Esso Raffinage SAF) - Tank Farm,Tank Farm,,Oil / Oil Products,Exxonmobil,Unknown,--,,Exxonmobil
Kermanshah (Kermanshah Oil Refining Company (KORC)) - Naphtha Merox,Gas Processing / Treating Unit,Iran,Oil / Oil Products,Kermanshah Oil Refining Company (KORC),Unknown,--,,National Iranian Oil Co
Vicksburg (Ergon) - Tank Farm,Tank Farm,Mississippi,Oil / Oil Products,Ergon,Unknown,--,,Ergon
Liaoyang Refinery (PetroChina Liaoyang Petrochemical Company) - Delayed Coker,Coker Unit,China (Mainland),Oil / Oil Products,PetroChina Liaoyang Petrochemical Company,Unknown,--,,China Petroleum & Chemical Corporation
Woods Cross (HF Sinclair Corporation) - FCCU 1 #4,Catalytic Cracker Unit,Utah,Oil / Oil Products,HollyFrontier Corp,Unknown,--,,HollyFrontier Corp
Omsk Refinery (Gazprom Neft' PAO) - Toluene Transalkylation (C-600),Gasoline Additive Unit,Siberian Federal District,Oil / Oil Products,Gazprom Neft' PAO,Unknown,--,,Gazprom Neft
Buenos Aires (Raizen Energia SA) - Hydrotreater (Naphtha),Hydrotreater Unit,Argentina,Oil / Oil Products,Raizen Energia SA,Unknown,--,,Shell
IRPC Rayong Refinery (IRPC Public Company Limited) - ADU 2,Distillation Unit,Thailand,Oil / Oil Products,IRPC Public Company Limited,Unknown,--,,Ptt
Mount Vernon (Countrymark Cooperative Inc) - Boiler House,Unclassified Unit,Indiana,Oil / Oil Products,Countrymark Cooperative Inc,Unknown,--,,Countrymark Co Op
Catlettsburg Refinery 1 - South (Marathon) - Vacuum Distillation (associated with crude 2),Distillation Unit,Kentucky,Oil / Oil Products,Marathon,Unknown,--,,Marathon Petroleum Corp
Numaligarh (Numaligarh Refinery Limited) - Catalytic Reforming Unit (Reformer I),Reformer Unit,India,Oil / Oil Products,Numaligarh Refinery Limited,Unknown,--,,Numaligarh Refineries
Schwechat (OMV AG) - ETBE,Gasoline Additive Unit,Austria,Oil / Oil Products,Omv AG,Unknown,--,,OMV
Pembroke (Valero Energy Corp) - Crude,Distillation Unit,United Kingdom,Oil / Oil Products,Valero Energy Corp,Unknown,--,,Valero Energy Corp
Taoyuan (Chinese Petroleum Corporation (CPC)) - Hydrogen (PSA) 2,Hydrogen Plant,Taiwan,Oil / Oil Products,CPC Corp,Unknown,--,,CPC Corp
Ufa Oil Refinery (Bashneft ANK PAO) - Hydrotreater L-24-5 (LB),Hydrotreater Unit,Volga Federal District,Oil / Oil Products,ANK Bashneft' PAO,Unknown,--,,Bashneft
Chalmette (Chalmette Refining LLC) - Marine Dock 1 Barge,Loading Facility,Louisiana,Oil / Oil Products,Chalmette Refining LLC,Unknown,--,,PBF Energy Inc
Priolo Gargallo ISAB Refinery (North) (Lukoil PJSC) - LPG (CR 29),Gas Processing / Treating Unit,Italy,Oil / Oil Products,Lukoil PJSC,Unknown,--,,LUKOIL
Jebel Ali (Emirates National Oil Co Ltd Enoc L L C) - Gasoline Merox,Gas Processing / Treating Unit,Dubai,Oil / Oil Products,Emirates National Oil Co Ltd Enoc L L C,Unknown,--,,Emirates National Oil Co Ltd
Lake Charles (CITGO Petroleum Corp) - Delayed Coker 2,Coker Unit,Louisiana,Oil / Oil Products,CITGO Petroleum Corp,Unknown,--,,CITGO Petroleum Corporation
Chalmette (Chalmette Refining LLC) - Sulfolane,Gasoline Additive Unit,Louisiana,Oil / Oil Products,Chalmette Refining LLC,Unknown,--,,PBF Energy Inc
Dongying Refinery (Dongying Hualian Petrochemical Company Limited) - RFCCU 1,Catalytic Cracker Unit,China (Mainland),Oil / Oil Products,Dongying Hualian Petrochemical Company Limited,Unknown,--,,
Regina (Consumers Co Operative Refineries Ltd (Ccrl)) - Vacuum 2,Distillation Unit,Canada,Oil / Oil Products,Consumers Co Operative Refineries Ltd (Ccrl),Unknown,--,,Consumers Co Operative Refineries Ltd (Ccrl)
Torrance (Torrance Refining Company LLC) - Vacuum,Distillation Unit,California,Oil / Oil Products,Torrance Refining Company LLC,Unknown,--,,PBF Energy Inc
Benicia (Valero Refining Co) - SF Alkylation,Alkylate Plant,California,Oil / Oil Products,Valero Refining Co,Unknown,--,,Valero Energy Corp
Stanlow (Essar Oil UK) - Lube Oil Hydrotreater,Hydrotreater Unit,United Kingdom,Oil / Oil Products,Essar Oil UK,Unknown,--,,Nayara Energy Ltd
Lukoil Neftochim Burgas Refinery (Lukoil Bulgaria EOOD) - Water Treatment,Water Treatment Unit,Bulgaria,Oil / Oil Products,Lukoil Bourgas,Unknown,--,,Lukoil
Koyali Refinery (Gujarat) (Indian Oil Corporation Ltd) - Hydrogen Generation Unit 1,Hydrogen Plant,India,Oil / Oil Products,Indian Oil Corporation Ltd,Unknown,--,,Indian Oil Corp
Venezia Refinery (Eni Spa) - Sour Water Stripper,Water Treatment Unit,Italy,Oil / Oil Products,Eni SpA,Unknown,--,,Eni SpA
Pancevo Refinery (Gazprom Neft' PAO) - Merox (FCC),Gas Processing / Treating Unit,Serbia,Oil / Oil Products,Gazprom Neft' PAO,Unknown,--,,Gazprom Neft
Sandersville (Hunt Refining Co) - Tank Farm,Tank Farm,United States,Oil / Oil Products,Hunt Southland Refining Co,Unknown,--,,Hunt Refining Company
Ferndale (Phillips 66) - Amine MDEA,Gas Processing / Treating Unit,Washington,Oil / Oil Products,Phillips 66,Unknown,--,,Phillips 66
Mina Al-Fahal Refinery (Oman Oil Refineries and Petroleum Industries Co LLC) - Amine Treatment Unit,Gas Processing / Treating Unit,Oman,Oil / Oil Products,Oman Oil Refineries and Petroleum Industries Company,Unknown,--,,Government of the Sultanate of Oman
Zarqa Refinery (Jordan Petroleum Refinery Co (Jprc)) - LPG Amine Treatment Unit,Gas Processing / Treating Unit,Jordan,Oil / Oil Products,Jordan Petroleum Refinery Co (Jprc),Unknown,--,,Jordan Petroleum Refinery Co (Jprc)
Panipat (Indian Oil Corporation Limited) - AVU 1 (Crude 1),Distillation Unit,India,Oil / Oil Products,Indian Oil Corporation Limited,Unknown,--,,Indian Oil Corp
Toledo (BP-Husky Refining LLC) - Amine DEA (EPA Unit),Gas Processing / Treating Unit,Ohio,Oil / Oil Products,BP-Husky Refining LLC,Unknown,--,,BP PLC
Refinaria de Mataripe (ex RLAM) (Petroleo Brasileiro SA Petrobras) - Topping 2 (Unit-9),Distillation Unit,Brazil,Oil / Oil Products,Petroleo Brasileiro SA Petrobras,Unknown,--,,Petrobras
Refineria Ingeniero Antonio Dovali Jaime (Salina Cruz) (Pemex Transformacion Industrial) - SRU 2 Train 1,Sulfur Plant,Mexico,Oil / Oil Products,Pemex Transformacion Industrial,Unknown,--,,Pemex
RU VII - Kasim Refinery (PT Pertamina Persero) - CDU,Distillation Unit,Indonesia,Oil / Oil Products,PT Pertamina Persero,Unknown,--,,Pertamina (Persero) PT
Seosan Daesan Refinery (Hyundai Oilbank Company Limited) - LER (Light Ends Recovery) Unit 1,Gas Processing / Treating Unit,South Korea,Oil / Oil Products,Hyundai Oilbank Co Ltd,Unknown,--,,Hyundai Oil
REDUC (Petroleo Brasileiro SA Petrobras) - Liquid Gas Processing (U-3400),Gas Processing / Treating Unit,Brazil,Oil / Oil Products,Petroleo Brasileiro SA Petrobras,Unknown,--,,Petrobras
Paulsboro (Paulsboro Refining Company) - Hydrogen Plant,Hydrogen Plant,New Jersey,Oil / Oil Products,Paulsboro Refining Company,Unknown,--,,PBF Energy
Jamnagar Refinery Special Economic Zone (Reliance Industries Limited) - Reformer Unit 1,Reformer Unit,India,Oil / Oil Products,Reliance Industries Limited,Unknown,--,,Reliance Industries Ltd
Denver Refinery - Plant 1 (West) (Suncor Energy Incorporated) - Crude 3 (Asphalt),Asphalt Plant,Colorado,Oil / Oil Products,Suncor,Unknown,--,,Suncor Energy Inc
Szazhalombatta Duna Refinery (MOL Magyar Olajes Gazipari Nyrt) - FCCU Gasoline Hydrotreater 5,Hydrotreater Unit,Hungary,Oil / Oil Products,MOL Magyar Olajes Gazipari Nyrt,Unknown,--,,MOL
Mangalore (Mangalore Refinery & Petrochemicals Limited) - Sour Water Stripper Unit 1,Water Treatment Unit,India,Oil / Oil Products,Mangalore Refinery & Petrochemicals Limited,Unknown,--,,Oil and Natural Gas Corporation Ltd
Bongaigaon (Indian Oil Corporation Limited) - Delayed Coker 2,Coker Unit,India,Oil / Oil Products,Indian Oil Corporation Limited,Unknown,--,,Indian Oil Corp
Brod Bitumen Blending Plant (Zarubezhneft JSC) - Ammonia Plant,Unclassified Unit,Bosnia and Herzegovina,Oil / Oil Products,Zarubezhneft AO,Unknown,--,,Zarubezhneft
Barrancabermeja Refinery (Ecopetrol) - Mek-Tol Dewax,Lube Plant,Colombia,Oil / Oil Products,Ecopetrol,Unknown,--,,Ecopetrol
Alexandria Refinery (ANRPC) (Alexandria National Refining and Petrochemicals Company) - LPG Recovery & Treatment Unit,Gas Processing / Treating Unit,Egypt,Oil / Oil Products,Alexandria National Refining and Petrochemical Co SAE,Unknown,--,,Egyptian General Petroleum Corporation
Beaumont (ExxonMobil Corporation) - Lube Hydrofinisher,Hydrotreater Unit,Texas,Oil / Oil Products,ExxonMobil Corporation,Unknown,--,,Exxon Mobil Corp
Preemraff Gothenburg Refinery (Preem AB) - Tail Gas Treater,Gas Processing / Treating Unit,Sweden,Oil / Oil Products,Preem AB,Unknown,--,,Preem
Sakai (ENEOS Corporation) - Vacuum Distillation Unit,Distillation Unit,Japan,Oil / Oil Products,JXTG Nippon Oil & Energy Corp,Unknown,--,,Exxon Mobil Uk
Taranto (Eni Spa) - Unit 2700 (Claus 4),Sulfur Plant,Italy,Oil / Oil Products,Eni Spa,Unknown,--,,Eni SpA
Ulsan (SK Energy Company Limited) - VDU 2,Distillation Unit,South Korea,Oil / Oil Products,SK Energy Company Limited,Unknown,--,,SK Networks Resources Australia Pty Ltd
Yeosu (GS CALTEX OIL CORP) - K/D HDS (Kero/Diesel Hydrodesulfurizer) 2,Hydrotreater Unit,South Korea,Oil / Oil Products,GS CALTEX OIL CORP,Unknown,--,,GS Caltex
Richmond (Chevron Corporation) - Truck Loading,Loading Facility,California,Oil / Oil Products,Chevron Corporation,Unknown,--,,Chevron Corp
Refinaria Alberto Pasqualini (REFAP) (Petroleo Brasileiro SA Petrobras) - Vacuum (U-02),Distillation Unit,Brazil,Oil / Oil Products,Petroleo Brasileiro SA Petrobras,Unknown,--,,Petrobras
Lujan de Cuyo (YPF SA) - Hydrogen,Hydrogen Plant,Argentina,Oil / Oil Products,YPF SA,Unknown,--,,YPF SA
Burghausen (OMV Deutschland GmbH) - C3 Splitter,Petrochemical Plant,Germany,Oil / Oil Products,OMV AG-PETROCHEMICALS(AUSTRIA),Unknown,--,,OMV
"Kralupy (ORLEN Unipetrol RPA, s.r.o.) - FCC",Catalytic Cracker Unit,Czech Republic,Oil / Oil Products,Unipetrol as,Unknown,--,,Unipetrol as
Pulau Bukom Refinery (Shell Eastern Petroleum Pte Ltd) - H2S Removal Units With AMINE,Gas Processing / Treating Unit,Singapore,Oil / Oil Products,Shell Eastern Petroleum Pte Ltd,Unknown,--,,Shell
Sakai (Cosmo Oil Company Limited) - Catalytic Reforming Unit (PT),Reformer Unit,Japan,Oil / Oil Products,Cosmo Oil Company Limited,Unknown,--,,Cosmo Oil
Campo Duran (Refinor) - Campo Duran 02,Power Generator,Argentina,Oil / Oil Products,Refinor,Unknown,--,,Repsol
Mazeikiai Refinery (Orlen Lietuva AB) - Hydrogen Generation,Hydrogen Plant,Lithuania,Oil / Oil Products,Orlen Lietuva AB,Unknown,--,,PKN Orlen
Fawley (Esso Petroleum Company Ltd) - Vacuum Distillation #3,Distillation Unit,United Kingdom,Oil / Oil Products,Esso Petroleum Company Ltd,Unknown,--,,Exxon Mobil Corp
Fort McMurray Oil Sands Upgrader (Horizon Oil Sands) (Canadian Natural Resources Ltd (Pre-Merger)) - Sour Water Stripper,Water Treatment Unit,Canada,Oil / Oil Products,Canadian Natural Resources Ltd (Pre-Merger),Unknown,--,,
Baytown (ExxonMobil Corporation) - CLE (Crude Light Ends),Gas Processing / Treating Unit,Texas,Oil / Oil Products,ExxonMobil Corporation,Unknown,--,,Exxon Mobil Corp
Mina Al-Ahmadi (Kuwait National Petroleum Company) - Crude Distillation Unit 4,Distillation Unit,Kuwait,Oil / Oil Products,Kuwait National Petroleum Company,Unknown,--,,Kuwaiti National Petroleum Co
Preemraff Lysekil Refinery (Preem AB) - Flare 3,Unclassified Unit,Sweden,Oil / Oil Products,Preem AB,Unknown,--,,Preem
Castellon (BP Oil Espana SA) - SRU 1,Sulfur Plant,Spain,Oil / Oil Products,Bp Energia Espana SA,Unknown,--,,BP PLC
Lake Charles (Calcasieu Refining Co) - Stabilizer,Unclassified Unit,Louisiana,Oil / Oil Products,Calcasieu Refining Co,Unknown,--,,Calcasieu Refining
Refineria Miguel Hidalgo (Tula De Allende) (Pemex Transformacion Industrial) - Unit 600-2 (Amine Sour Gases),Unclassified Unit,Mexico,Oil / Oil Products,Petroleos Mexicanos,Unknown,--,,Pemex
La Pampilla Refinery (Repsol Petroleo Peru SA) - Platforming PT (U-22),Reformer Unit,Peru,Oil / Oil Products,Repsol Petroleo Peru SA,Unknown,--,,Repsol
Slagen (Esso Norge AS) - Platformer,Reformer Unit,Norway,Oil / Oil Products,Esso Norge AS Forus,Unknown,--,,Exxon Mobil Corp
Augusta (Sonatrach) - MEA Amine treatment,Gas Processing / Treating Unit,Italy,Oil / Oil Products,Sonatrach,Unknown,--,,Exxon Mobil Corp
Perm Refinery (LUKOIL-Permnefteorgsintez LLC) - Hydrogen Production,Hydrogen Plant,Volga Federal District,Oil / Oil Products,LUKOIL-Permnefteorgsintez LLC,Unknown,--,,Lukoil
Paulsboro (Paulsboro Refining Company) - Amine Regenerator HPR,Gas Processing / Treating Unit,New Jersey,Oil / Oil Products,Paulsboro Refining Company,Unknown,--,,PBF Energy
Ufaneftekhim Refinery (ANK Bashneft' PAO) - ABT-2 (Vacuum 2),Distillation Unit,Volga Federal District,Oil / Oil Products,ANK Bashneft' PAO,Unknown,--,,Bashneft
Sendai Refinery (ENEOS Corporation) - Wastewater Treating Unit 4,Water Treatment Unit,Japan,Oil / Oil Products,JXTG Nippon Oil & Energy Corp,Unknown,--,,JXTG Nippon Oil & Energy Corp
Gdansk (Grupa Lotos SA) - Reformer (410),Reformer Unit,Poland,Oil / Oil Products,Grupa Lotos SA,Unknown,--,,Lotos
Yeosu (GS CALTEX OIL CORP) - Propylene Splitter Unit 2,Petrochemical Plant,South Korea,Oil / Oil Products,GS CALTEX OIL CORP,Unknown,--,,GS Caltex
Humber Refinery (Phillips 66) - Delayed Coker 1,Coker Unit,United Kingdom,Oil / Oil Products,Phillips 66,Unknown,--,,Phillips 66
Refineria Ingeniero Hector R Lara Sosa (Cadereyta) (Pemex Transformacion Industrial) - HD Unit 700-2 (Diesel HDS),Hydrotreater Unit,Mexico,Oil / Oil Products,Petroleos Mexicanos,Unknown,--,,Pemex
Jean Gaulin (Valero Energy Corporation) - Isom,Isomerate Plant,Canada,Oil / Oil Products,Valero Energy Corporation,Unknown,--,,Valero Energy Corp
Catlettsburg Refinery 2 - North (Catlettsburg Refining LLC) - Crude 3,Distillation Unit,Kentucky,Oil / Oil Products,Catlettsburg Refining LLC,Unknown,--,,Marathon Oil Corp
Puget Sound Refinery (HF Sinclair Corp) - Vacuum,Distillation Unit,Washington,Oil / Oil Products,Royal Dutch Shell PLC,Unknown,--,,Shell
Homs (Homs Refinery Company) - Sour Water Stripper 24,Water Treatment Unit,Syria,Oil / Oil Products,Homs Refinery Company,Unknown,--,,PDVSA
Cartagena (Repsol Petroleo SA) - Vacuum 5 (U-602),Distillation Unit,Spain,Oil / Oil Products,Repsol Petroleo SA,Unknown,--,,Repsol
Feyzin (TotalEnergies SE) - ETBE Treatment,Gasoline Additive Unit,,Oil / Oil Products,Total Refining & Chemicals Saudi Arabia Sas,Unknown,--,,Total
Gelsenkirchen Scholven Refinery (BP PLC) - Amine Treatment,Gas Processing / Treating Unit,Germany,Oil / Oil Products,BP PLC,Unknown,--,,BP PLC
Karamay (PetroChina Karamay Petrochemical Company) - Diesel Hydrotreater Unit 1,Hydrotreater Unit,China (Mainland),Oil / Oil Products,PetroChina Karamay Petrochemical Company,Unknown,--,,PetroChina
Mizushima Refinery (A and B Plant) (Eneos Corp) - Furfural Solvent Extraction Unit (Plant B),Lube Plant,Japan,Oil / Oil Products,JXTG Nippon Oil & Energy Corp,Unknown,--,,JXTG Nippon Oil & Energy Corp
La Coruna (Repsol Petroleo SA) - Vacuum 1,Distillation Unit,Spain,Oil / Oil Products,Repsol Petroleo SA,Unknown,--,,Repsol
Qingdao (Sinopec Qingdao Petrochemical Company Limited) - CDU,Distillation Unit,China (Mainland),Oil / Oil Products,Sinopec Qingdao Petrochemical Company Limited,Unknown,--,,Sinopec Corp
Mina Abdulla Refinery (Kuwait National Petroleum Company) - Kerosene Hydrotreater (Unit 15),Hydrotreater Unit,Kuwait,Oil / Oil Products,Kuwait National Petroleum Company,Unknown,--,,Kuwaiti National Petroleum Co
Houston (Houston Refining LP) - SRU 433,Sulfur Plant,Texas,Oil / Oil Products,Houston Refining LP,Unknown,--,,LyondellBasell Industries N.V.
Jurong Refinery (Mainland) (ExxonMobil Asia Pacific Pte Ltd) - Vacuum,Distillation Unit,Singapore,Oil / Oil Products,ExxonMobil Asia Pacific Pte Ltd,Unknown,--,,Exxon Mobil Corp
Meraux (Valero Refining Company) - PSA,Hydrogen Plant,Louisiana,Oil / Oil Products,Valero Refining Company,Unknown,--,,Valero Energy Corp
Ruwais Refinery 1 (East) (ADNOC Refining) - Diesel Hydrotreater Unit,Hydrotreater Unit,United Arab Emirates,Oil / Oil Products,Abu Dubai Oil Refining Company (ADNOC),Unknown,--,,
Deer Park (Deer Park Refining LP) - CPS Unit 01,Power Generator,Texas,Oil / Oil Products,Shell Deer Park Refining Co,Unknown,--,,Pemex
Sweeny (Phillips 66) - HDS 14 (Reformer Feed),Hydrotreater Unit,Texas,Oil / Oil Products,Phillips 66,Unknown,--,,Phillips 66
Naftan Novopolotsk Refinery (Naftan OJSC) - Lube Oil Dewaxing (39/7),Lube Plant,Belarus,Oil / Oil Products,Naftan OJSC,Unknown,--,,Naftan
Harburg (Nynas Petroleum AB) - Claus 1,Sulfur Plant,Germany,Oil / Oil Products,Nynas Petroleum AB (Belgium Branch),Unknown,--,,
Mumbai (Bharat Petroleum Corporation Limited) - Bitumen Blowing Unit,Asphalt Plant,India,Oil / Oil Products,Bharat Petroleum Corporation Limited,Unknown,--,,Bharat Petroleum Corp Ltd
El Paso North Refinery (Marathon Petroleum Corp) - Boiler Plant North,Unclassified Unit,Texas,Oil / Oil Products,Marathon Petroleum Corp,Unknown,--,,Andeavor
Sweeny (Phillips 66) - Cooling Towers,Unclassified Unit,Texas,Oil / Oil Products,Phillips 66,Unknown,--,,Phillips 66
Deer Park (Deer Park Refining LP) - Phenol Lube Extraction Unit,Lube Plant,Texas,Oil / Oil Products,Deer Park Refining LP,Unknown,--,,Pemex
Montreal (Suncor Energy Incorporated) - Vacuum,Distillation Unit,Canada,Oil / Oil Products,Suncor Energy Incorporated,Unknown,--,,Petro Canada
SASREF Al Jubail Refinery (Saudi Aramco Shell Refinery Co) - High Vacuum Unit,Distillation Unit,Saudi Arabia,Oil / Oil Products,Saudi Aramco Shell Refinery Co,Unknown,--,,Saudi Aramco
Jamnagar (Reliance Industries Limited) - Desalination 5,Unclassified Unit,India,Oil / Oil Products,Reliance Industries Ltd,Unknown,--,,Reliance Industries Ltd
MiRO Refinery Karlsruhe (Mineraloelraffinerie Oberrhein GmbH & Co KG) - VGO Hydrotreater,Hydrotreater Unit,Germany,Oil / Oil Products,Mineraloelraffinerie Oberrhein GmbH & Co KG,Unknown,--,,Dea Mineraloel Ag
Zibo Qilu Refinery (Sinopec Qilu Company Limited) - Sulfur Recovery 2,Sulfur Plant,China (Mainland),Oil / Oil Products,Sinopec Qilu Co.,Unknown,--,,
Mid Country Refinery (Pak-Arab Refinery Limited) - Visbreaker Unit,Coker Unit,Pakistan,Oil / Oil Products,Pak-Arab Refinery Limited,Unknown,--,,State of Pakistan
Holborn Refinery (Holborn Europa Raffinerie GmbH) - HDS Naphtha,Hydrotreater Unit,Germany,Oil / Oil Products,Holborn Europa Raffinerie GmbH,Unknown,--,,Tamoil
Schwechat (OMV AG) - Vacuum 2,Distillation Unit,Austria,Oil / Oil Products,Omv AG,Unknown,--,,OMV
Bilbao Refinery (Petronor SA) - SR 5 (SRU),Sulfur Plant,Spain,Oil / Oil Products,Petronor S A,Unknown,--,,Repsol Petroleo SA
Quanzhou Refinery (Fujian Refining & Petrochemical Company Limited) - Hydrocracking,Hydrocracker Unit,China (Mainland),Oil / Oil Products,Fujian Refining & Petrochemical Company Limited,Unknown,--,,Exxon Mobil Corp
Willemstad Isla Curacao (Refineria di Korsou NV) - NABS 1 (New Asphalts Burning System),Unclassified Unit,,Oil / Oil Products,PDVSA Gas SA,Unknown,--,,PDVSA
Gelsenkirchen Horst Refinery (Ruhr Oel GmbH) - Flare,Unclassified Unit,Germany,Oil / Oil Products,Ruhr Oel GmbH,Unknown,--,,BP PLC
Catlettsburg Refinery 2 - North (Catlettsburg Refining LLC) - DDS Diesel Desulf Hydrotreater (ULSD),Hydrotreater Unit,Kentucky,Oil / Oil Products,Catlettsburg Refining LLC,Unknown,--,,Marathon Oil Corp
Scotford (Shell Canada Ltd (Pre-Merger)) - Hexane Fractionator,Petrochemical Plant,Canada,Oil / Oil Products,Royal Dutch Shell PLC,Unknown,--,,Shell
Saint Paul Park Refinery (Marathon Petroleum Corp) - Unit 38 Hydrogen Production,Hydrogen Plant,Minnesota,Oil / Oil Products,Marathon Petroleum Corp,Unknown,--,,Marathon Petroleum Corp
Mathura (Indian Oil Corporation Ltd) - Hydrogen Generation Unit 1,Hydrogen Plant,India,Oil / Oil Products,Indian Oil Corporation Ltd,Unknown,--,,Indian Oil Corp
Navajo Refinery (Navajo Refining Company Limited Partnership) - Naphtha HDU Unit 18,Hydrotreater Unit,New Mexico,Oil / Oil Products,Navajo Refining Company Limited Partnership,Unknown,--,,HollyFrontier Corp
